file,tappa,autore,licenza,fonte,titolo_commons
g06_t03_dalwhinnie-distillery_03.jpg,g6 t3 dalwhinnie-distillery,Bill Henderson,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Dalwhinnie_Distillery_-_geograph.org.uk_-_5061930.jpg,File:Dalwhinnie Distillery - geograph.org.uk - 5061930.jpg
g06_t04_edinburgh_01.jpg,g6 t4 edinburgh,Daniel Kraft,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Edinburgh_Royal_Mile_from_Salisbury_Crags_20211019.jpg,File:Edinburgh Royal Mile from Salisbury Crags 20211019.jpg
g06_t04_edinburgh_02.jpg,g6 t4 edinburgh,Peter S,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Royal_Mile,_Edinburgh_-_geograph.org.uk_-_1970888.jpg","File:Royal Mile, Edinburgh - geograph.org.uk - 1970888.jpg"
g06_t04_edinburgh_03.jpg,g6 t4 edinburgh,"Herbert Frank from Wien (Vienna), AT",CC BY 2.0,"https://commons.wikimedia.org/wiki/File:Edinburgh,_Royal_Mile_(24745051868).jpg","File:Edinburgh, Royal Mile (24745051868).jpg"
g07_t01_edinburgh-waverley_01.jpg,g7 t1 edinburgh-waverley,Suicasmo,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Edinburgh_Waverley_railway_station_20171206.jpg,File:Edinburgh Waverley railway station 20171206.jpg
g07_t01_edinburgh-waverley_02.jpg,g7 t1 edinburgh-waverley,PAUL FARMER,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Waverley_Station,_Edinburgh_-_geograph.org.uk_-_4588268.jpg","File:Waverley Station, Edinburgh - geograph.org.uk - 4588268.jpg"
g07_t01_edinburgh-waverley_03.jpg,g7 t1 edinburgh-waverley,Ermell,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Edinburgh_Waverley_Station-20110903-RM-161203.jpg,File:Edinburgh Waverley Station-20110903-RM-161203.jpg
g07_t02_whitechapel_01.jpg,g7 t2 whitechapel,Ian S,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:On_Whitechapel_Road,_London_-_geograph.org.uk_-_6376642.jpg","File:On Whitechapel Road, London - geograph.org.uk - 6376642.jpg"
g07_t02_whitechapel_02.jpg,g7 t2 whitechapel,Ian S,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Whitechapel_Road,_London_-_geograph.org.uk_-_6376626.jpg","File:Whitechapel Road, London - geograph.org.uk - 6376626.jpg"
g07_t02_whitechapel_03.jpg,g7 t2 whitechapel,Ian S,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Whitechapel_Road,_London_-_geograph.org.uk_-_6376632.jpg","File:Whitechapel Road, London - geograph.org.uk - 6376632.jpg"
g07_t03_crystal-palace-park_01.jpg,g7 t3 crystal-palace-park,Tom Page,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Crystal_Palace_Bowl_detail_2024-06-08.jpg,File:Crystal Palace Bowl detail 2024-06-08.jpg
g07_t03_crystal-palace-park_02.jpg,g7 t3 crystal-palace-park,Tom Page,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Crystal_Palace_Bowl_lighting_detail_2024-06-08.jpg,File:Crystal Palace Bowl lighting detail 2024-06-08.jpg
g07_t03_crystal-palace-park_03.jpg,g7 t3 crystal-palace-park,Mike McBey,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Crystal_Palace_(33657336328).jpg,File:Crystal Palace (33657336328).jpg
g08_t01_brick-lane_01.jpg,g8 t1 brick-lane,Robert Lamb,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:View_of_street_art_in_a_yard_off_Brick_Lane_-_geograph.org.uk_-_6810506.jpg,File:View of street art in a yard off Brick Lane - geograph.org.uk - 6810506.jpg
g08_t01_brick-lane_02.jpg,g8 t1 brick-lane,Robert Lamb,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:View_of_street_art_in_a_yard_off_Brick_Lane_%5E2_-_geograph.org.uk_-_6810508.jpg,File:View of street art in a yard off Brick Lane ^2 - geograph.org.uk - 6810508.jpg
g08_t01_brick-lane_03.jpg,g8 t1 brick-lane,Robert Lamb,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:View_of_street_art_in_a_yard_off_Brick_Lane_%5E3_-_geograph.org.uk_-_6810509.jpg,File:View of street art in a yard off Brick Lane ^3 - geograph.org.uk - 6810509.jpg
g08_t02_tower-of-london_01.jpg,g8 t2 tower-of-london,Lewis Clarke,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:London_,_Westminster_-_Elizabeth_Tower_-_geograph.org.uk_-_5058814.jpg","File:London , Westminster - Elizabeth Tower - geograph.org.uk - 5058814.jpg"
g08_t02_tower-of-london_02.jpg,g8 t2 tower-of-london,Ethan Doyle White,CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Southeast_View_of_the_White_Tower,_Tower_of_London_(01).jpg","File:Southeast View of the White Tower, Tower of London (01).jpg"
g08_t02_tower-of-london_03.jpg,g8 t2 tower-of-london,SkyRose18,CC0,https://commons.wikimedia.org/wiki/File:Exterior_of_Tower_of_London.jpg,File:Exterior of Tower of London.jpg
g08_t03_luton-airport_01.jpg,g8 t3 luton-airport,Stacey Harris,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Luton_Airport_-_terminal_building_-_geograph.org.uk_-_2874551.jpg,File:Luton Airport - terminal building - geograph.org.uk - 2874551.jpg
g08_t03_luton-airport_02.jpg,g8 t3 luton-airport,M J Richardson,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Arrivals_at_Luton_Airport_-_geograph.org.uk_-_2462560.jpg,File:Arrivals at Luton Airport - geograph.org.uk - 2462560.jpg
g08_t03_luton-airport_03.jpg,g8 t3 luton-airport,David P Howard,CC BY-SA 2.0,"https://commons.wikimedia.org/wiki/File:Terminal_building,_Luton_Airport_-_geograph.org.uk_-_1965888.jpg","File:Terminal building, Luton Airport - geograph.org.uk - 1965888.jpg"
